link,sha
https://github.com/piyush-an/DAMG7245-Spring23,af9f62f8c237be36e7e391508c6effd566c35be6
https://github.com/noonosh/curex,971c7b89d7048577955a39d9e696c5114e3ccdb0
https://github.com/flake-it/showflakes-framework,41ad3eb54d33492377042c7a3ccf7e1d8721ebe5
https://github.com/TNO/PRESEIS-dgm-velmod-sampler,b921589d61402920ddf86ffcf14ed304e239bfa2
https://github.com/anthony-zhou/climate_code_conversion,96aac123165e410f5b82a6cb1d6ee46ff4c86fce
https://github.com/swingmx/swingmusic,cb2e98a832e625ae933ec3e10651efa525e88481
https://github.com/parkpow/deep-license-plate-recognition,e080c583d131b1e322e1064e9c7ead7bd7a9a1d5
https://github.com/testdrivenio/flask-celery,5c66be55b203d5a5f0522c5f535f8af121ee753c
https://github.com/sujeetkv/flaskcode,fe8a7b955771ee3afbfcc14d06934b842dc39c02
https://github.com/pydanny/webhooks,3a7c517f590c5eee481a6e741fc5d5938c0c3efd
https://github.com/nginxinc/bank-of-sirius,8fb7e2d2470f9c1862f518d89fec7d8638bb92f6
https://github.com/nils-werner/pymushra,33d49f515a796219269a487fe48c7ca9e1c452da
https://github.com/fuxiAIlab/CivAgent,20d1e12912da4f7c1d682fcae847f643720dd384
https://github.com/singingwolfboy/flask-dance-google-sqla,eb7277dc6445b46e8c842693c1224dcc84d998c0
https://github.com/putuwaw/telegram-bot,bdd46f05658dc5de38499d8818b80caa2c0abaee
https://github.com/AndrewRPorter/flask-react-nginx,24f2bcfcdcd129dae0950b9e2906dfbc96b7cd45
https://github.com/AOSSIE-Org/Social-Street-Smart,ff947c781720e31ae1638d180c55a6c810204e25
https://github.com/openhealthcare/gloss,1d17d133f3954df9cf801078882e626ff3e916d3
https://github.com/kajarosz/bookstore-stock-manager,5f6836e201de5c13240bf80c1b28cdfcc7670b4a
https://github.com/jramcast/devops-testing,200defca52ddeb6b0909aee369ba3e2c74819078
https://github.com/modeemi/website,d6ad8b472934e847588d4866635a930b36df9593
https://github.com/jrohitofficial/Sem_03-Coventry-University,9025d78785741a79f91d83586124eb0d01c40f77
https://github.com/conorbranagan/dicom-uploader,825884dc7937dec8b45528900305854ed2954b4a
https://github.com/Mohammed-Benotmane/Udacity-NanoDegree,9ce49273042f01637685ff7643ecf2b14006b521
https://github.com/plf14/Golf-Handicap,503bded98914b912885e9f501c7b1aab158c5185
